WEO Subject Code;Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
NGDP_RPCH;Afghanistan;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;8.444;0.671;11.830;5.361;13.340;3.863;20.585;8.438;6.479;13.968;3.660;1.534;3.494
PCPIPCH;Afghanistan;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;24.827;16.358;10.569;6.785;8.681;26.419;-6.811;2.179;11.804;6.441;7.386;4.611;3.664
GGXCNL_NGDP;Afghanistan;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-0.098;-2.102;-2.393;-0.965;0.643;-2.492;-3.882;-1.779;0.922;-0.646;0.182;-0.631;-2.201;-0.053
BCA_NGDPD;Afghanistan;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;27.352;20.103;25.592;17.465;2.047;36.770;2.714;13.066;8.303;6.411;6.321;7.526;5.702;3.067
NGDP_RPCH;Albania;2.684;5.700;2.900;1.100;2.000;-1.500;5.600;-0.800;-1.400;9.800;-10.000;-28.000;-7.200;9.600;9.400;8.900;9.100;-10.838;9.009;13.501;6.625;7.940;4.231;5.740;5.673;5.773;5.431;5.905;7.536;3.354;3.707;2.545;1.624;1.393;2.102;3.029
PCPIPCH;Albania;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-0.180;35.717;225.996;85.005;22.565;7.793;12.734;33.166;20.646;0.390;0.039;3.121;5.218;2.344;2.869;2.363;2.371;2.937;3.360;2.251;3.605;3.430;2.038;1.932;1.625;1.798
GGXCNL_NGDP;Albania;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-11.391;-9.335;-8.317;-7.447;-6.604;-6.090;-4.888;-5.071;-3.413;-3.228;-3.172;-4.884;-6.586;-3.520;-3.516;-3.434;-5.159;-5.580;-4.765
BCA_NGDPD;Albania;0.052;-0.439;-2.185;-1.528;-1.270;-1.118;0.055;0.256;-0.951;-2.597;-4.163;-11.938;-7.901;1.616;-3.577;-1.900;-7.487;-12.505;-6.602;-1.831;-6.765;-6.101;-9.975;-7.513;-5.745;-8.995;-6.045;-10.637;-15.755;-15.929;-11.333;-13.225;-10.185;-10.659;-13.885;-15.656
NGDP_RPCH;Algeria;-5.400;3.000;6.400;5.400;5.600;5.600;-0.200;-0.700;-1.900;4.800;1.252;-1.200;1.600;-2.102;-0.900;3.848;3.800;1.100;5.098;3.200;3.800;3.000;5.600;7.200;4.300;5.900;1.684;3.373;2.360;1.632;3.616;2.828;3.302;2.762;4.129;2.604
PCPIPCH;Algeria;9.668;14.610;6.593;7.835;6.310;10.432;14.007;5.857;5.938;9.172;9.272;25.900;31.700;20.500;29.000;29.800;18.700;5.700;4.950;2.600;0.300;4.200;1.430;4.259;3.972;1.382;2.315;3.674;4.855;5.743;3.913;4.522;8.890;3.255;2.917;4.000
